Message Type,Time,Name,Speed,Heading,Latitude,Longitude,Altitude,DistanceDriven,LongitudinalAcceleration,Slope,Stopped,RouteId,Connection.Id,LaneIndex,BlinkerRight,BlinkerLeft,BrakeLight
VEHICLE_UPDATES,4000000000,veh_0,1.8438665338326246,153.87326896864724,52.99163949253661,-1.1693302504421286,0.0,1.8438665338326246,0.8438665338326246,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,5000000000,veh_0,2.446024031029083,154.07424820484692,52.991619482874064,-1.1693151632785561,0.0,4.289890564861707,0.6021574971964583,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,6000000000,veh_0,3.05823734018486,154.07424820484692,52.991594465007196,-1.1692962999808072,0.0,7.348127905046567,0.6122133091557771,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,7000000000,veh_0,4.001825760817155,154.07424820484692,52.99156172812436,-1.1692716166344865,0.0,11.349953665863723,0.9435884206322953,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,8000000000,veh_0,4.835356438532472,154.07424820485278,52.99152217254817,-1.169241792102422,0.0,16.185310104396194,0.8335306777153164,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,8000000000,veh_1,1.94169089384377,153.88238633943425,52.99163869228595,-1.1693296470577192,0.0,1.94169089384377,0.94169089384377,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,9000000000,veh_0,5.450074082124047,154.07424820484692,52.99147758827287,-1.1692081760496538,0.0,21.63538418652024,0.6147176435915753,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,9000000000,veh_1,2.4927652864716947,154.07424820484692,52.99161830025718,-1.1693142715931082,0.0,4.434456180315465,0.5510743926279247,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,10000000000,veh_0,6.070571864023805,154.07424820484692,52.99142792801096,-1.169170732847549,0.0,27.705956050544046,0.6204977818997577,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,10000000000,veh_1,3.184830961166881,154.07424820484692,52.991592246792806,-1.1692946274637113,0.0,7.619287141482346,0.6920656746951863,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,11000000000,veh_2,0.8417949476538853,153.77988082821392,52.99164768996751,-1.169336431259436,0.0,0.8417949476538853,-0.1582050523461147,0.0,false,1,30806029_341336502_1110605740,0,true,false,true
VEHICLE_UPDATES,11000000000,veh_0,5.03587988041388,154.07424820485278,52.991386732029405,-1.1691396716754663,0.0,32.741835930957926,-1.0346919836099246,0.0,false,1,30806029_341336502_1110605740,0,true,false,true
VEHICLE_UPDATES,11000000000,veh_1,4.037725468864664,154.07424820484692,52.99155921623252,-1.1692697226899154,0.0,11.65701261034701,0.8528945076977834,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,12000000000,veh_2,1.728811970355797,153.94100479266524,52.99163354744811,-1.1693257678800473,0.0,2.570606918009682,0.8870170227019116,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,12000000000,veh_0,5.713426891472658,173.45319781900625,52.99133723353562,-1.1691253622719568,0.0,38.45526282243058,0.6775470110587776,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,12000000000,veh_1,4.7167414599098265,154.07424820484692,52.99152063098439,-1.1692406297790443,0.0,16.373754070256837,0.6790159910451621,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,13000000000,veh_2,2.273972812134649,154.07424820484692,52.991614945247484,-1.1693117419378927,0.0,4.844579730144331,0.545160841778852,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,13000000000,veh_0,6.481740023117048,237.12677497615914,52.99130047390521,-1.1691969662950634,0.0,44.93700284554763,0.7683131316443905,0.0,false,1,353659675_1110605740_1110607234,0,false,false,false
VEHICLE_UPDATES,13000000000,veh_1,5.249453622265719,154.07424820484692,52.99147768788257,-1.1692082511541844,0.0,21.623207692522556,0.5327121623558924,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,14000000000,veh_2,3.092199363655287,154.07424820484692,52.991589649554236,-1.1692926691654555,0.0,7.936779093799618,0.8182265515206382,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,14000000000,veh_0,7.330097808377353,241.82505551883466,52.9912706683978,-1.1692942116213139,0.0,52.267100653924984,0.8483577852603048,0.0,false,1,95832103_1110607234_1110605919,0,false,false,false
VEHICLE_UPDATES,14000000000,veh_1,6.12778068613261,154.07424820484692,52.991427559624334,-1.1691704550890976,0.0,27.750988378655165,0.878327063866891,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,15000000000,veh_2,3.937908274147536,154.07424820484692,52.99155743554687,-1.1692683800685952,0.0,11.874687367947153,0.8457089104922488,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,15000000000,veh_3,1.165735042252122,153.81006916730573,52.991645039980675,-1.1693344331838242,0.0,1.165735042252122,0.165735042252122,0.0,false,1,30806029_341336502_1110605740,0,true,false,false
VEHICLE_UPDATES,15000000000,veh_0,8.143348134113943,243.75198133460407,52.99123997912586,-1.169404353517001,0.0,60.41044878803893,0.8132503257365897,0.0,false,1,95832103_1110607234_1110605919,0,false,false,false
